iter	Passed	Remaining
0	60	60581
1	61	30456
2	61	20411
3	61	15374
4	62	12352
5	62	10436
6	63	8982
7	63	7891
8	64	7056
9	64	6379
10	64	5831
11	65	5367
12	65	4974
13	65	4635
14	66	4342
15	66	4086
16	66	3858
17	67	3655
18	67	3479
19	67	3316
20	68	3172
21	68	3037
22	68	2913
23	68	2801
24	69	2700
25	69	2609
26	69	2520
27	70	2437
28	70	2362
29	70	2292
30	71	2225
31	71	2162
32	71	2104
33	72	2048
34	72	1996
35	72	1946
36	72	1899
37	73	1855
38	73	1816
39	74	1779
40	74	1741
41	74	1705
42	75	1669
43	75	1636
44	75	1604
45	75	1574
46	76	1545
47	76	1516
48	76	1489
49	76	1462
50	77	1436
51	77	1412
52	77	1388
53	78	1368
54	78	1348
55	78	1328
56	79	1309
57	79	1289
58	79	1271
59	79	1253
60	80	1235
61	80	1219
62	80	1202
63	81	1187
64	81	1172
65	81	1158
66	82	1144
67	82	1130
68	82	1117
69	83	1103
70	83	1090
71	83	1077
72	83	1065
73	84	1053
74	84	1041
75	84	1029
76	84	1018
77	85	1007
78	85	997
79	85	986
80	86	976
81	86	966
82	86	955
83	86	945
84	87	936
85	87	928
86	87	919
87	87	911
88	88	903
89	88	895
90	88	887
91	89	880
92	89	873
93	90	867
94	90	861
95	90	854
96	91	847
97	91	840
98	91	834
99	91	827
100	92	827
101	93	821
102	93	816
103	94	809
104	94	804
105	94	798
106	94	792
107	95	786
108	95	780
109	95	774
110	96	769
111	96	763
112	96	758
113	96	753
114	97	747
115	97	742
116	97	737
117	97	732
118	98	727
119	98	722
120	98	718
121	99	712
122	99	708
123	99	703
124	99	699
125	100	696
126	100	691
127	100	686
128	101	682
129	101	678
130	101	674
131	101	670
132	102	666
133	102	662
134	102	658
135	103	654
136	103	650
137	103	647
138	103	643
139	104	639
140	104	637
141	104	632
142	105	629
143	105	625
144	105	622
145	105	619
146	106	615
147	106	612
148	106	609
149	106	605
150	107	602
151	107	599
152	107	596
153	107	593
154	108	590
155	108	587
156	108	584
157	109	581
158	109	578
159	109	576
160	109	573
161	110	570
162	110	568
163	110	565
164	111	562
165	111	560
166	111	557
167	111	554
168	112	551
169	112	549
170	112	547
171	113	544
172	113	542
173	113	540
174	114	537
175	114	535
176	114	533
177	114	530
178	115	528
179	115	527
180	116	524
181	116	523
182	116	520
183	116	518
184	117	516
185	117	514
186	117	512
187	118	509
188	118	507
189	118	505
190	118	503
191	119	501
192	119	499
193	119	497
194	120	495
195	120	494
196	120	492
197	121	490
198	121	488
199	121	486
200	121	484
201	122	482
202	122	480
203	122	478
204	122	476
205	123	474
206	123	473
207	123	471
208	124	470
209	124	468
210	124	466
211	125	465
212	125	463
213	125	461
214	125	459
215	126	458
216	126	456
217	126	454
218	127	453
219	127	451
220	127	450
221	128	448
222	128	447
223	128	445
224	128	444
225	129	442
226	129	441
227	129	439
228	130	438
229	130	436
230	130	435
231	131	433
232	131	432
233	131	430
234	131	429
235	132	427
236	132	426
237	132	424
238	133	423
239	133	422
240	133	420
241	133	419
242	134	417
243	134	416
244	134	415
245	134	413
246	135	412
247	135	410
248	135	409
249	136	408
250	136	407
251	136	405
252	137	404
253	137	403
254	137	402
255	137	400
256	138	399
257	138	398
258	138	397
259	139	396
260	139	394
261	139	393
262	140	392
263	140	391
264	140	390
265	140	389
266	141	387
267	141	386
268	141	385
269	142	384
270	142	383
271	142	381
272	143	380
273	143	380
274	143	378
275	143	377
276	144	376
277	144	375
278	144	374
279	145	373
280	145	372
281	145	370
282	145	369
283	146	368
284	146	367
285	146	366
286	147	366
287	148	365
288	148	364
289	148	363
290	148	362
291	149	361
292	149	360
293	149	359
294	149	358
295	150	357
296	150	356
297	150	355
298	151	354
299	151	353
300	151	352
301	152	351
302	152	350
303	152	349
304	152	348
305	153	347
306	153	346
307	153	345
308	154	344
309	154	343
310	154	342
311	154	341
312	155	340
313	155	339
314	155	339
315	156	338
316	156	337
317	156	336
318	157	335
319	157	334
320	157	333
321	157	332
322	158	331
323	158	330
324	158	329
325	159	328
326	160	329
327	160	328
328	160	327
329	160	326
330	161	325
331	161	324
332	161	323
333	161	323
334	162	322
335	162	321
336	162	320
337	163	319
338	163	318
339	163	317
340	164	316
341	164	316
342	164	315
343	164	314
344	165	313
345	165	312
346	165	311
347	165	310
348	166	309
349	166	309
350	166	308
351	167	307
352	167	306
353	167	305
354	167	305
355	168	304
356	168	303
357	168	302
358	169	302
359	169	301
360	169	300
361	170	300
362	170	299
363	171	298
364	171	298
365	171	297
366	171	296
367	172	295
368	172	294
369	172	294
370	172	293
371	173	292
372	173	291
373	173	291
374	174	290
375	174	289
376	174	288
377	175	288
378	175	287
379	175	286
380	175	285
381	176	285
382	176	284
383	176	283
384	177	282
385	177	282
386	177	281
387	178	280
388	179	281
389	179	280
390	179	279
391	179	279
392	180	278
393	180	277
394	180	277
395	181	276
396	181	275
397	181	274
398	181	274
399	182	273
400	182	272
401	182	272
402	183	271
403	183	270
404	183	269
405	184	269
406	184	268
407	184	267
408	184	267
409	185	266
410	185	265
411	185	265
412	186	264
413	186	263
414	186	262
415	186	262
416	187	261
417	187	260
418	187	260
419	187	259
420	188	258
421	188	258
422	188	257
423	188	256
424	189	255
425	189	255
426	189	254
427	190	254
428	190	253
429	190	252
430	190	252
431	191	251
432	191	250
433	191	250
434	192	249
435	192	248
436	192	248
437	192	247
438	193	246
439	193	246
440	193	245
441	193	244
442	194	244
443	194	243
444	194	242
445	194	242
446	195	241
447	195	240
448	195	240
449	195	239
450	196	238
451	196	238
452	196	237
453	197	237
454	197	236
455	197	235
456	198	235
457	198	234
458	198	234
459	199	233
460	199	233
461	199	232
462	199	231
463	200	231
464	200	230
465	200	229
466	200	229
467	201	228
468	201	228
469	201	227
470	202	226
471	202	226
472	202	225
473	202	225
474	203	224
475	203	223
476	203	223
477	203	222
478	204	222
479	204	221
480	204	220
481	204	220
482	205	219
483	205	219
484	205	218
485	206	217
486	206	217
487	206	216
488	207	216
489	207	215
490	207	215
491	208	214
492	208	214
493	208	213
494	208	213
495	209	212
496	209	212
497	209	211
498	210	210
499	210	210
500	210	209
501	211	209
502	211	208
503	211	208
504	212	208
505	212	207
506	212	207
507	213	206
508	213	206
509	214	205
510	214	205
511	214	204
512	214	204
513	215	203
514	215	203
515	215	202
516	216	201
517	216	201
518	216	200
519	217	200
520	217	199
521	217	199
522	217	198
523	218	198
524	218	197
525	218	197
526	219	196
527	219	196
528	219	195
529	220	195
530	220	194
531	220	194
532	221	193
533	221	193
534	221	192
535	221	192
536	222	191
537	222	191
538	222	190
539	223	189
540	223	189
541	223	188
542	223	188
543	224	187
544	224	187
545	224	186
546	224	186
547	225	185
548	225	185
549	225	184
550	226	184
551	226	183
552	226	183
553	226	182
554	227	182
555	227	181
556	227	181
557	228	180
558	228	180
559	228	179
560	228	179
561	229	178
562	229	178
563	230	177
564	230	177
565	230	176
566	230	176
567	231	175
568	231	175
569	231	174
570	232	174
571	232	173
572	232	173
573	232	172
574	233	172
575	233	171
576	233	171
577	233	170
578	234	170
579	234	169
580	234	169
581	235	168
582	235	168
583	235	167
584	236	167
585	236	166
586	236	166
587	236	165
588	237	165
589	237	164
590	237	164
591	237	163
592	238	163
593	238	163
594	238	162
595	239	162
596	239	161
597	239	161
598	239	160
599	240	160
600	240	159
601	240	159
602	241	158
603	241	158
604	241	157
605	241	157
606	242	156
607	242	156
608	242	155
609	243	155
610	243	154
611	243	154
612	243	154
613	244	153
614	244	153
615	244	152
616	245	152
617	245	151
618	245	151
619	245	150
620	246	150
621	246	149
622	246	149
623	246	148
624	247	148
625	247	147
626	247	147
627	247	146
628	248	146
629	248	145
630	248	145
631	249	145
632	249	144
633	249	144
634	249	143
635	250	143
636	250	142
637	250	142
638	250	141
639	251	141
640	251	140
641	251	140
642	251	139
643	251	139
644	252	138
645	252	138
646	252	137
647	253	137
648	253	137
649	253	136
650	253	136
651	254	135
652	254	135
653	255	135
654	255	134
655	255	134
656	255	133
657	256	133
658	256	132
659	256	132
660	256	131
661	257	131
662	257	130
663	257	130
664	257	129
665	258	129
666	258	129
667	258	128
668	259	128
669	259	127
670	259	127
671	259	126
672	260	126
673	260	125
674	260	125
675	260	125
676	261	124
677	261	124
678	261	123
679	262	123
680	262	122
681	262	122
682	262	122
683	263	121
684	263	121
685	263	120
686	264	120
687	264	119
688	264	119
689	265	119
690	265	118
691	265	118
692	266	117
693	266	117
694	266	116
695	266	116
696	267	116
697	267	115
698	267	115
699	267	114
700	268	114
701	268	113
702	268	113
703	268	113
704	269	112
705	269	112
706	269	111
707	269	111
708	270	110
709	270	110
710	270	110
711	270	109
712	271	109
713	271	108
714	271	108
715	271	107
716	272	107
717	272	107
718	272	106
719	273	106
720	273	105
721	273	105
722	274	104
723	274	104
724	274	104
725	274	103
726	275	103
727	275	102
728	275	102
729	276	102
730	276	101
731	276	101
732	276	100
733	277	100
734	277	100
735	277	99
736	278	99
737	278	98
738	278	98
739	278	98
740	279	97
741	279	97
742	279	96
743	280	96
744	280	95
745	280	95
746	280	95
747	281	94
748	281	94
749	281	93
750	281	93
751	282	93
752	282	92
753	282	92
754	282	91
755	283	91
756	283	90
757	283	90
758	284	90
759	284	89
760	284	89
761	284	88
762	285	88
763	285	88
764	285	87
765	285	87
766	286	86
767	286	86
768	286	86
769	286	85
770	287	85
771	287	84
772	287	84
773	287	84
774	288	83
775	288	83
776	288	82
777	288	82
778	289	82
779	289	81
780	289	81
781	289	80
782	290	80
783	290	80
784	290	79
785	290	79
786	291	78
787	291	78
788	291	78
789	292	77
790	292	77
791	292	76
792	292	76
793	293	76
794	293	75
795	293	75
796	293	74
797	294	74
798	294	74
799	294	73
800	295	73
801	295	72
802	295	72
803	296	72
804	296	71
805	296	71
806	296	70
807	297	70
808	297	70
809	297	69
810	297	69
811	298	69
812	298	68
813	298	68
814	298	67
815	299	67
816	299	67
817	299	66
818	300	66
819	300	65
820	300	65
821	300	65
822	300	64
823	301	64
824	301	63
825	301	63
826	301	63
827	302	62
828	302	62
829	302	61
830	302	61
831	303	61
832	303	60
833	303	60
834	304	60
835	304	59
836	304	59
837	304	58
838	305	58
839	305	58
840	305	57
841	305	57
842	306	57
843	306	56
844	306	56
845	307	55
846	307	55
847	307	55
848	308	54
849	308	54
850	308	54
851	308	53
852	309	53
853	309	52
854	309	52
855	309	52
856	310	51
857	310	51
858	310	51
859	311	50
860	311	50
861	311	49
862	311	49
863	312	49
864	312	48
865	312	48
866	313	48
867	313	47
868	313	47
869	313	46
870	314	46
871	314	46
872	314	45
873	314	45
874	315	45
875	315	44
876	315	44
877	315	43
878	316	43
879	316	43
880	316	42
881	316	42
882	317	42
883	317	41
884	317	41
885	317	40
886	318	40
887	318	40
888	318	39
889	319	39
890	319	39
891	319	38
892	319	38
893	320	37
894	320	37
895	320	37
896	321	36
897	321	36
898	321	36
899	321	35
900	322	35
901	322	35
902	322	34
903	322	34
904	323	33
905	323	33
906	323	33
907	324	32
908	324	32
909	324	32
910	325	31
911	325	31
912	325	31
913	325	30
914	326	30
915	326	29
916	326	29
917	327	29
918	327	28
919	327	28
920	327	28
921	328	27
922	328	27
923	328	27
924	329	26
925	329	26
926	329	25
927	329	25
928	330	25
929	330	24
930	330	24
931	331	24
932	331	23
933	331	23
934	331	23
935	331	22
936	332	22
937	332	21
938	332	21
939	333	21
940	333	20
941	333	20
942	333	20
943	334	19
944	334	19
945	334	19
946	334	18
947	335	18
948	335	18
949	335	17
950	335	17
951	336	16
952	336	16
953	336	16
954	336	15
955	337	15
956	337	15
957	337	14
958	337	14
959	338	14
960	338	13
961	338	13
962	339	13
963	339	12
964	339	12
965	339	11
966	340	11
967	340	11
968	340	10
969	341	10
970	341	10
971	341	9
972	341	9
973	342	9
974	342	8
975	342	8
976	342	8
977	343	7
978	343	7
979	343	7
980	343	6
981	344	6
982	344	5
983	344	5
984	345	5
985	345	4
986	345	4
987	345	4
988	346	3
989	346	3
990	346	3
991	346	2
992	347	2
993	347	2
994	347	1
995	347	1
996	347	1
997	348	0
998	349	0
999	349	0
